Date,Price,Open,High,Low,Change %
2015-01-01,1181.97,1183.78,1184.53,1181.97,-0.17
2016-01-01,1060.74,1061.21,1061.41,1060.74,-0.05
2018-01-01,1306.86,1303.43,1307.72,1302.43,0.33
2019-01-01,1282.62,1283.13,1283.24,1282.62,-0.02
2020-01-01,1517.3,1517.26,1517.48,1517.2,-0.01
2021-01-01,1898.1,1897.69,1899.12,1897.39,0.09
2024-01-01,2063.8,2064.24,2074.9,2063.3,0.06
2016-02-01,1128.85,1117.88,1130.09,1116.24,0.97
2017-02-01,1209.49,1210.89,1213.59,1198.12,-0.09
2018-02-01,1349.19,1345.4,1351.42,1337.3,0.3
2019-02-01,1318.0,1320.95,1323.58,1315.66,-0.22
2021-02-01,1860.16,1863.05,1871.84,1849.04,0.76
2022-02-01,1800.65,1796.72,1809.16,1795.13,0.23
2023-02-01,1950.42,1927.92,1954.63,1920.56,1.17
2024-02-01,2054.89,2037.59,2065.42,2029.55,0.87
2016-03-01,1232.26,1238.19,1249.0,1227.44,-0.47
2017-03-01,1248.94,1248.57,1250.68,1236.53,0.03
2018-03-01,1316.55,1318.53,1321.3,1302.99,-0.11
2019-03-01,1293.56,1312.81,1315.33,1290.16,-1.48
2021-03-01,1723.84,1733.4,1760.02,1719.52,-0.56
2022-03-01,1943.22,1908.19,1950.45,1900.93,1.85
2023-03-01,1836.81,1827.24,1845.05,1823.05,0.53
2024-03-01,2083.39,2043.44,2088.4,2038.55,1.96
2015-04-01,1204.1,1183.35,1209.0,1180.35,1.74
2016-04-01,1222.49,1232.68,1235.36,1208.84,-0.83
2019-04-01,1287.66,1291.33,1297.04,1286.5,-0.35
2020-04-01,1595.05,1569.45,1604.12,1568.91,1.51
2021-04-01,1730.18,1708.09,1730.8,1705.42,1.36
2022-04-01,1924.3,1937.51,1939.99,1917.56,-0.67
2024-04-01,2250.36,2239.59,2265.86,2228.54,0.81
2025-04-01,3142.69,3120.66,3148.0,3120.44,0.71
2015-05-01,1178.5,1184.56,1185.26,1170.6,-0.5
2017-05-01,1256.8,1268.6,1271.6,1254.16,-0.9
2018-05-01,1303.97,1315.58,1316.69,1301.88,-0.87
2019-05-01,1276.61,1283.46,1287.21,1272.99,-0.54
2020-05-01,1700.41,1685.24,1706.21,1669.82,0.91
2023-05-01,1982.05,1991.34,2006.05,1977.05,-0.38
2024-05-01,2317.9,2285.91,2328.4,2281.66,1.41
2015-06-01,1189.15,1191.0,1204.81,1184.6,-0.11
2016-06-01,1213.35,1216.4,1221.25,1206.5,-0.16
2017-06-01,1265.64,1268.89,1270.72,1261.49,-0.23
2018-06-01,1293.14,1298.98,1300.72,1289.52,-0.4
2020-06-01,1740.34,1736.42,1744.52,1727.03,0.7
2021-06-01,1900.19,1907.53,1916.84,1892.28,-0.32
2022-06-01,1845.55,1837.37,1850.4,1828.28,0.46
2023-06-01,1977.88,1962.8,1983.27,1953.43,0.79
2015-07-01,1168.8,1172.7,1175.3,1167.43,-0.32
2016-07-01,1342.3,1323.38,1344.6,1320.88,1.52
2019-07-01,1384.31,1392.83,1397.56,1381.76,-1.79
2020-07-01,1770.32,1780.91,1789.27,1759.02,-0.64
2021-07-01,1776.6,1770.06,1783.07,1765.47,0.38
2022-07-01,1810.18,1807.31,1812.09,1784.1,0.18
2024-07-01,2331.7,2326.46,2338.72,2318.55,0.26
2016-08-01,1353.21,1349.88,1355.22,1346.24,0.17
2017-08-01,1269.05,1268.8,1274.47,1264.05,-0.04
2018-08-01,1216.05,1224.0,1225.36,1215.76,-0.64
2019-08-01,1445.31,1411.21,1445.81,1400.56,2.23
2022-08-01,1771.73,1765.05,1775.22,1758.05,0.37
2023-08-01,1944.08,1965.1,1966.24,1941.2,-1.02
2024-08-01,2445.42,2448.1,2462.4,2430.25,-0.11
2015-09-01,1140.11,1135.01,1147.57,1134.51,0.49
2016-09-01,1313.79,1309.12,1315.38,1302.23,0.37
2017-09-01,1324.97,1321.8,1329.2,1316.65,0.22
2020-09-01,1970.49,1967.58,1992.26,1963.22,0.02
2021-09-01,1813.66,1813.57,1820.21,1808.18,0.01
2022-09-01,1696.09,1711.09,1711.81,1688.35,-0.85
2023-09-01,1938.8,1940.19,1953.44,1934.59,-0.05
2015-10-01,1113.55,1115.14,1119.29,1111.13,-0.13
2018-10-01,1188.47,1192.55,1192.95,1184.95,-0.3
2019-10-01,1478.98,1472.3,1487.42,1458.9,0.46
2020-10-01,1905.05,1885.8,1912.09,1884.48,1.04
2021-10-01,1760.36,1756.91,1764.4,1749.36,0.21
2024-10-01,2662.82,2635.41,2673.2,2631.98,1.08
2016-11-01,1288.15,1277.17,1292.21,1275.55,0.84
2017-11-01,1274.39,1270.88,1281.25,1267.98,0.22
2018-11-01,1233.24,1215.2,1237.83,1214.84,1.54
2019-11-01,1513.95,1513.53,1515.81,1503.3,0.04
2021-11-01,1793.05,1783.24,1796.2,1778.89,0.57
2022-11-01,1647.5,1633.4,1657.13,1630.93,0.88
2023-11-01,1982.15,1983.01,1992.09,1969.9,-0.03
2024-11-01,2735.16,2742.5,2762.29,2733.2,-0.32
2015-12-01,1069.49,1064.55,1074.72,1063.38,0.48
2016-12-01,1171.3,1173.29,1177.07,1160.77,-0.15
2017-12-01,1280.26,1274.29,1289.58,1271.58,0.43
2020-12-01,1814.87,1777.4,1817.55,1775.52,2.13
2021-12-01,1782.66,1774.15,1794.8,1771.96,0.5
2022-12-01,1802.89,1768.54,1804.32,1767.36,1.95
2023-12-01,2070.9,2034.49,2075.34,2033.75,1.73
2015-01-02,1189.18,1182.7,1194.6,1168.75,0.61
2017-01-02,1150.52,1150.55,1152.66,1149.66,-0.12
2018-01-02,1318.14,1302.55,1318.98,1302.51,0.86
2019-01-02,1284.77,1281.62,1288.69,1278.33,0.17
2020-01-02,1528.94,1517.13,1531.3,1517.09,0.77
2023-01-02,1823.69,1823.85,1823.94,1823.85,-0.04
