window_id,percentile,k,theta_min,theta_max,theta_mean,theta_median,theta_std,semantic_mean
2,top10%,8,-5.0,-4.9931,-4.9983,-5.0,0.0029,0.8576
2,top20%,16,-5.0,-4.9923,-4.9982,-5.0,0.003,0.809
2,top50%,41,-5.0,0.0109,-4.7542,-5.0,1.0777,0.6978
2,top60%,49,-5.0,0.0169,-4.6917,-5.0,1.2004,0.6556
1,top10%,8,-5.0,-4.9931,-4.9983,-5.0,0.0029,0.8471
1,top20%,16,-5.0,0.0109,-4.6856,-5.0,1.2126,0.7943
1,top50%,41,-5.0,0.0109,-4.7544,-5.0,1.0777,0.6896
1,top60%,49,-5.0,0.0169,-4.6917,-5.0,1.2004,0.6466
3,top10%,8,-5.0,-4.9923,-4.9965,-4.9968,0.0035,0.8988
3,top20%,16,-5.0,-4.9889,-4.9967,-5.0,0.0039,0.8148
3,top50%,41,-5.0,0.0109,-4.8761,-5.0,0.7727,0.6821
3,top60%,49,-5.0,0.0109,-4.8958,-5.0,0.7082,0.6398
4,top10%,8,-5.0,-4.9931,-4.9983,-5.0,0.0029,0.8783
4,top20%,16,-5.0,-4.9923,-4.9973,-5.0,0.0034,0.835
4,top50%,41,-5.0,0.0109,-4.8763,-5.0,0.7727,0.7181
4,top60%,49,-5.0,0.0109,-4.8959,-5.0,0.7082,0.6711
5,top10%,8,-5.0,-4.9931,-4.9983,-5.0,0.0029,0.8801
5,top20%,16,-5.0,-4.9926,-4.9983,-5.0,0.003,0.8432
5,top50%,41,-5.0,0.0109,-4.8762,-5.0,0.7727,0.7409
5,top60%,49,-5.0,0.0109,-4.8961,-5.0,0.7083,0.6962
6,top10%,8,-5.0,-4.9931,-4.9983,-5.0,0.0029,0.897
6,top20%,16,-5.0,-4.9923,-4.9978,-5.0,0.0033,0.8559
6,top50%,41,-5.0,0.0109,-4.8762,-5.0,0.7727,0.748
6,top60%,49,-5.0,0.0109,-4.8962,-5.0,0.7083,0.7017
7,top10%,8,-5.0,-4.9923,-4.9965,-4.9968,0.0035,0.9342
7,top20%,16,-5.0,-4.9923,-4.9973,-5.0,0.0034,0.8765
7,top50%,41,-5.0,-4.9889,-4.9977,-5.0,0.0035,0.7544
7,top60%,49,-5.0,0.0109,-4.8958,-5.0,0.7082,0.7097
8,top10%,8,-5.0,-4.9923,-4.9955,-4.9933,0.0035,0.9626
8,top20%,16,-5.0,-4.9923,-4.9973,-5.0,0.0034,0.8941
8,top50%,41,-5.0,-4.9889,-4.9977,-5.0,0.0035,0.7746
8,top60%,49,-5.0,-4.9878,-4.9978,-5.0,0.0036,0.7274
10,top10%,8,-5.0,-4.9923,-4.9973,-5.0,0.0035,0.9855
10,top20%,16,-5.0,-4.9889,-4.9971,-5.0,0.0039,0.9235
10,top50%,41,-5.0,-4.9878,-4.9974,-5.0,0.0038,0.7872
10,top60%,49,-5.0,-4.9779,-4.9974,-5.0,0.0045,0.7384
12,top10%,8,-5.0,-4.9923,-4.9973,-5.0,0.0035,0.9782
12,top20%,16,-5.0,-4.9889,-4.9971,-5.0,0.0039,0.9111
12,top50%,41,-5.0,-4.9779,-4.9968,-5.0,0.0048,0.7842
12,top60%,49,-5.0,-4.9779,-4.9972,-5.0,0.0046,0.7345
9,top10%,8,-5.0,-4.9923,-4.9973,-5.0,0.0035,0.9792
9,top20%,16,-5.0,-4.9923,-4.9973,-5.0,0.0034,0.9254
9,top50%,41,-5.0,-4.9889,-4.9977,-5.0,0.0035,0.7862
9,top60%,49,-5.0,-4.9779,-4.9974,-5.0,0.0045,0.7402
11,top10%,8,-5.0,-4.9923,-4.9973,-5.0,0.0035,0.9549
11,top20%,16,-5.0,-4.9889,-4.9975,-5.0,0.0038,0.8965
11,top50%,41,-5.0,-4.9779,-4.9968,-5.0,0.0048,0.7775
11,top60%,49,-5.0,-4.9779,-4.9971,-5.0,0.0046,0.727
15,top10%,8,-5.0,-4.9923,-4.9963,-4.9965,0.0037,0.8932
15,top20%,16,-5.0,-4.9923,-4.9982,-5.0,0.0032,0.8626
15,top50%,41,-5.0,-4.9878,-4.9975,-5.0,0.0037,0.7418
15,top60%,49,-5.0,-4.9779,-4.9974,-5.0,0.0045,0.6984
16,top10%,8,-5.0,-4.9926,-4.9965,-4.9968,0.0035,0.9185
16,top20%,16,-5.0,-4.9923,-4.9978,-5.0,0.0033,0.8778
16,top50%,41,-5.0,-4.9889,-4.9977,-5.0,0.0035,0.7741
16,top60%,49,-5.0,-4.9779,-4.9974,-5.0,0.0045,0.7247
14,top10%,8,-5.0,-4.9926,-4.9973,-5.0,0.0035,0.9504
14,top20%,16,-5.0,-4.9923,-4.9982,-5.0,0.0032,0.8912
14,top50%,41,-5.0,-4.9889,-4.9978,-5.0,0.0034,0.7707
14,top60%,49,-5.0,-4.9779,-4.9974,-5.0,0.0045,0.7241
13,top10%,8,-5.0,-4.9923,-4.9973,-5.0,0.0035,0.9844
13,top20%,16,-5.0,-4.9923,-4.9978,-5.0,0.0033,0.921
13,top50%,41,-5.0,-4.9878,-4.9974,-5.0,0.0038,0.7907
13,top60%,49,-5.0,-4.9779,-4.9972,-5.0,0.0046,0.74
19,top10%,8,-5.0,-4.9923,-4.9981,-5.0,0.0032,0.8646
19,top20%,16,-5.0,-4.9889,-4.9975,-5.0,0.0038,0.8287
19,top50%,41,-5.0,-4.9889,-4.9977,-5.0,0.0035,0.7122
19,top60%,49,-5.0,0.0109,-4.8955,-5.0,0.7082,0.6667
18,top10%,8,-5.0,-4.9923,-4.9973,-5.0,0.0035,0.8632
18,top20%,16,-5.0,-4.9889,-4.9975,-5.0,0.0038,0.8324
18,top50%,41,-5.0,-4.9889,-4.9977,-5.0,0.0035,0.7157
18,top60%,49,-5.0,-4.9878,-4.9976,-5.0,0.0038,0.6686
20,top10%,8,-5.0,-4.9923,-4.9981,-5.0,0.0032,0.8428
