window_id,percentile,rank,policy_id,policy_name,semantic_score,theta
2,top10%,1,637c6766,reind_637c,0.9928,-4.9936
2,top10%,2,c6739e51,reind_c673,0.85,-5.0
2,top10%,3,64527318,reind_6452,0.8492,-4.9931
2,top10%,4,eeced638,reind_eece,0.8489,-5.0
2,top10%,5,f11f0bb5,reind_f11f,0.8463,-5.0
2,top10%,6,df3d9356,reind_df3d,0.8453,-5.0
2,top10%,7,5c8683b2,reind_5c86,0.8242,-5.0
2,top10%,8,73af656a,reind_73af,0.8043,-5.0
2,top20%,1,637c6766,reind_637c,0.9928,-4.9936
2,top20%,2,c6739e51,reind_c673,0.85,-5.0
2,top20%,3,64527318,reind_6452,0.8492,-4.9931
2,top20%,4,eeced638,reind_eece,0.8489,-5.0
2,top20%,5,f11f0bb5,reind_f11f,0.8463,-5.0
2,top20%,6,df3d9356,reind_df3d,0.8453,-5.0
2,top20%,7,5c8683b2,reind_5c86,0.8242,-5.0
2,top20%,8,73af656a,reind_73af,0.8043,-5.0
2,top20%,9,800234d8,reind_8002,0.7978,-5.0
2,top20%,10,05eed594,reind_fallback,0.7885,-5.0
2,top50%,1,637c6766,reind_637c,0.9928,-4.9936
2,top50%,2,c6739e51,reind_c673,0.85,-5.0
2,top50%,3,64527318,reind_6452,0.8492,-4.9931
2,top50%,4,eeced638,reind_eece,0.8489,-5.0
2,top50%,5,f11f0bb5,reind_f11f,0.8463,-5.0
2,top50%,6,df3d9356,reind_df3d,0.8453,-5.0
2,top50%,7,5c8683b2,reind_5c86,0.8242,-5.0
2,top50%,8,73af656a,reind_73af,0.8043,-5.0
2,top50%,9,800234d8,reind_8002,0.7978,-5.0
2,top50%,10,05eed594,reind_fallback,0.7885,-5.0
2,top60%,1,637c6766,reind_637c,0.9928,-4.9936
2,top60%,2,c6739e51,reind_c673,0.85,-5.0
2,top60%,3,64527318,reind_6452,0.8492,-4.9931
2,top60%,4,eeced638,reind_eece,0.8489,-5.0
2,top60%,5,f11f0bb5,reind_f11f,0.8463,-5.0
2,top60%,6,df3d9356,reind_df3d,0.8453,-5.0
2,top60%,7,5c8683b2,reind_5c86,0.8242,-5.0
2,top60%,8,73af656a,reind_73af,0.8043,-5.0
2,top60%,9,800234d8,reind_8002,0.7978,-5.0
2,top60%,10,05eed594,reind_fallback,0.7885,-5.0
1,top10%,1,637c6766,reind_637c,0.9993,-4.9936
1,top10%,2,eeced638,reind_eece,0.8494,-5.0
1,top10%,3,64527318,reind_6452,0.8425,-4.9931
1,top10%,4,5c8683b2,reind_5c86,0.8393,-5.0
1,top10%,5,f11f0bb5,reind_f11f,0.8359,-5.0
1,top10%,6,df3d9356,reind_df3d,0.834,-5.0
1,top10%,7,05eed594,reind_fallback,0.7885,-5.0
1,top10%,8,73725f6d,reind_7372,0.7881,-5.0
1,top20%,1,637c6766,reind_637c,0.9993,-4.9936
1,top20%,2,eeced638,reind_eece,0.8494,-5.0
1,top20%,3,64527318,reind_6452,0.8425,-4.9931
1,top20%,4,5c8683b2,reind_5c86,0.8393,-5.0
1,top20%,5,f11f0bb5,reind_f11f,0.8359,-5.0
1,top20%,6,df3d9356,reind_df3d,0.834,-5.0
1,top20%,7,05eed594,reind_fallback,0.7885,-5.0
1,top20%,8,73725f6d,reind_7372,0.7881,-5.0
1,top20%,9,73af656a,reind_73af,0.7774,-5.0
1,top20%,10,4f156c9f,reind_fallback,0.7748,-5.0
1,top50%,1,637c6766,reind_637c,0.9993,-4.9936
1,top50%,2,eeced638,reind_eece,0.8494,-5.0
1,top50%,3,64527318,reind_6452,0.8425,-4.9931
1,top50%,4,5c8683b2,reind_5c86,0.8393,-5.0
1,top50%,5,f11f0bb5,reind_f11f,0.8359,-5.0
1,top50%,6,df3d9356,reind_df3d,0.834,-5.0
1,top50%,7,05eed594,reind_fallback,0.7885,-5.0
1,top50%,8,73725f6d,reind_7372,0.7881,-5.0
1,top50%,9,73af656a,reind_73af,0.7774,-5.0
1,top50%,10,4f156c9f,reind_fallback,0.7748,-5.0
1,top60%,1,637c6766,reind_637c,0.9993,-4.9936
1,top60%,2,eeced638,reind_eece,0.8494,-5.0
