dataset,window_id,origin,window_size,train_size,test_size,horizon,period,mase_scale,window_data_path,trend_strength,seasonal_strength,adf_pvalue,data_length,skewness,cv,local_slope_30,local_std_ratio_30,local_change_rate_30,local_mean_ratio_30,local_slope_120,local_std_ratio_120,local_change_rate_120,local_mean_ratio_120,best_trajectory,best_mase,split
melbourne_temp,1,0,600,600,12,12,5,3.102587519025876,/root/xx/storage/autotune_results/window_data/melbourne_temp_window_1.pkl,0.204165,0.156738,0.032771,600,0.263197,0.424569,0.065495,0.564615,-0.463158,0.628465,-0.027871,0.686545,-0.26087,0.607417,"[{""step"": 0, ""weights"": {""multi_resolution"": 0.513608413, ""detrender"": 0.486391587}, ""interval"": 2}]",0.912268,test
melbourne_temp,2,10,600,600,12,12,5,3.102587519025876,/root/xx/storage/autotune_results/window_data/melbourne_temp_window_2.pkl,0.185796,0.14788,0.009904,600,0.289875,0.424489,0.155706,0.682969,2.571429,0.696407,-0.007458,0.704459,-0.090909,0.613297,"[{""step"": 0, ""weights"": {""chunk_ensemble"": 0.6499999999, ""multi_resolution"": 0.3500000001}, ""interval"": 3}]",1.205983,test
melbourne_temp,3,20,600,600,12,12,5,3.102587519025876,/root/xx/storage/autotune_results/window_data/melbourne_temp_window_3.pkl,0.176106,0.140472,0.153549,600,0.270693,0.4224,-0.041824,0.618096,-0.052632,0.735949,0.001876,0.710645,0.956522,0.612755,"[{""step"": 0, ""weights"": {""multi_resolution"": 1.0}, ""interval"": 3}]",0.818672,test
melbourne_temp,4,30,600,600,12,12,5,3.102587519025876,/root/xx/storage/autotune_results/window_data/melbourne_temp_window_4.pkl,0.169086,0.133475,0.034913,600,0.311427,0.426971,-0.111212,0.687488,-0.561983,0.722043,0.013292,0.701621,-0.561983,0.606538,"[{""step"": 0, ""weights"": {""multi_resolution"": 1.0}, ""interval"": 3}]",0.912142,test
melbourne_temp,5,40,600,600,12,12,5,3.102587519025876,/root/xx/storage/autotune_results/window_data/melbourne_temp_window_5.pkl,0.155247,0.111505,0.016685,600,0.319604,0.424323,0.021735,0.563551,-0.419048,0.690895,0.030876,0.663191,0.0,0.605834,"[{""step"": 0, ""weights"": {""chunk_ensemble"": 1.0}, ""interval"": 3}]",0.783647,test
melbourne_temp,6,50,600,600,12,12,5,3.102587519025876,/root/xx/storage/autotune_results/window_data/melbourne_temp_window_6.pkl,0.132948,0.095234,0.018844,600,0.316777,0.420909,0.084872,0.675377,2.027778,0.774245,0.03318,0.697323,0.493151,0.65282,"[{""step"": 0, ""weights"": {""multi_resolution"": 1.0}, ""interval"": 3}]",0.472724,test
melbourne_temp,7,60,600,600,12,12,5,3.102587519025876,/root/xx/storage/autotune_results/window_data/melbourne_temp_window_7.pkl,0.111272,0.080562,0.127112,600,0.349371,0.418451,0.035573,0.558374,0.587302,0.852007,0.043271,0.731677,6.692308,0.677431,"[{""step"": 0, ""weights"": {""chunk_ensemble"": 0.7234999999, ""multi_resolution"": 0.2765000001}, ""interval"": 3}]",0.645053,test
melbourne_temp,8,70,600,600,12,12,5,3.102587519025876,/root/xx/storage/autotune_results/window_data/melbourne_temp_window_8.pkl,0.086746,0.069616,0.142896,600,0.374624,0.417645,0.039956,0.618701,-0.19697,0.950411,0.044872,0.742068,1.717949,0.734468,"[{""step"": 0, ""weights"": {""multi_resolution"": 1.0}, ""interval"": 3}]",0.891729,test
melbourne_temp,9,80,600,600,12,12,5,3.102587519025876,/root/xx/storage/autotune_results/window_data/melbourne_temp_window_9.pkl,0.062759,0.067483,0.103939,600,0.37926,0.417997,0.137553,0.663602,-0.21374,1.045306,0.053624,0.800543,2.121212,0.790906,"[{""step"": 0, ""weights"": {""chunk_ensemble"": 0.6999999999, ""multi_resolution"": 0.3000000001}, ""interval"": 3}]",0.71478,test
melbourne_temp,10,90,600,600,12,12,5,3.102587519025876,/root/xx/storage/autotune_results/window_data/melbourne_temp_window_10.pkl,0.040905,0.064685,0.134711,600,0.389815,0.417969,0.057175,0.668486,0.188679,1.137002,0.04655,0.769391,0.326316,0.861889,"[{""step"": 0, ""weights"": {""multi_resolution"": 1.0}, ""interval"": 3}]",0.867555,test
